game_label,n_agents,competition_key,model,model_short,elo,agent_run_count,final_utility_mean,final_utility_std
game1,4,comp=1.00,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,3,21.5,8.261355820929152
game1,4,comp=1.00,gpt-4o-2024-05-13,GPT-4o,1345,3,15.133333333333335,9.340949273673067
game1,4,comp=1.00,o3-mini-high,o3-mini-high,1363,2,28.65,6.151828996322962
game1,4,comp=1.00,gemma-3-27b-it,Gemma 3 27B,1365,1,25.0,
game1,4,comp=1.00,claude-haiku-4-5-20251001,Haiku 4.5,1407,1,18.900000000000002,
game1,4,comp=1.00,deepseek-r1-0528,DeepSeek R1-0528,1422,1,25.0,
game1,4,comp=1.00,qwen3-max-preview,Qwen3 Max,1435,2,16.05,14.212846301849606
game1,4,comp=1.00,claude-opus-4-5-20251101,Opus 4.5,1468,1,27.900000000000002,
game1,4,comp=1.00,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,2,26.8,7.353910524340093
game1,4,comp=1.00,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,1,18.0,
game1,4,comp=1.00,gpt-5.4-high,GPT-5.4 High,1484,1,32.0,
game1,4,comp=1.00,claude-opus-4-6,Opus 4.6,1499,1,38.0,
game1,4,comp=1.00,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,3,30.666666666666668,6.110100926607786
game1,6,comp=0.00,claude-3-haiku-20240307,Claude 3 Haiku,1260,1,100.0,
game1,6,comp=0.00,command-r-plus-08-2024,Command R+,1276,2,100.0,0.0
game1,6,comp=0.00,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,1,100.0,
game1,6,comp=0.00,llama-3.3-70b-instruct,Llama 3.3 70B,1318,3,100.0,0.0
game1,6,comp=0.00,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,1,0.0,
game1,6,comp=0.00,gpt-4o-2024-05-13,GPT-4o,1345,3,100.0,0.0
game1,6,comp=0.00,deepseek-v3,DeepSeek V3,1358,3,100.0,0.0
game1,6,comp=0.00,o3-mini-high,o3-mini-high,1363,3,100.0,0.0
game1,6,comp=0.00,gemma-3-27b-it,Gemma 3 27B,1365,3,100.0,0.0
game1,6,comp=0.00,claude-sonnet-4-20250514,Sonnet 4,1389,1,100.0,
game1,6,comp=0.00,claude-haiku-4-5-20251001,Haiku 4.5,1407,1,100.0,
game1,6,comp=0.00,deepseek-r1-0528,DeepSeek R1-0528,1422,1,100.0,
game1,6,comp=0.00,claude-opus-4-5-20251101,Opus 4.5,1468,2,100.0,0.0
