game_label,n_agents,model,model_short,elo,agent_run_count,final_utility_mean,final_utility_std
game2,6,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,19,73.7997894736842,16.007572005422062
game2,6,gpt-5-nano-high,GPT-5-nano,1337,3,80.41666666666667,4.753496958380566
game2,6,gpt-4o-2024-05-13,GPT-4o,1345,17,79.21605882352941,13.173942796627875
game2,6,deepseek-v3,DeepSeek V3,1358,14,83.15907142857144,14.972270689841602
game2,6,o3-mini-high,o3-mini-high,1363,14,75.16400714285714,16.26958354629722
game2,6,gemma-3-27b-it,Gemma 3 27B,1365,8,77.38875,15.345938911367677
game2,6,claude-sonnet-4-20250514,Sonnet 4,1389,25,84.95031999999999,12.077624289431528
game2,6,claude-haiku-4-5-20251001,Haiku 4.5,1407,20,80.5558,16.19743279398897
game2,6,deepseek-r1-0528,DeepSeek R1-0528,1422,21,86.7948238095238,8.235593315111233
game2,6,qwen3-max-preview,Qwen3 Max,1435,21,90.50804761904763,7.5828722953521375
game2,6,gemini-2.5-pro,Gemini 2.5 Pro,1448,21,87.17085714285714,10.008944096585386
game2,6,claude-opus-4-5-20251101,Opus 4.5,1468,19,87.23378947368421,12.851488567386301
game2,6,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,20,89.5101,8.324416198275127
game2,6,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,22,85.29495454545454,10.633885257256729
game2,6,gpt-5.4-high,GPT-5.4 High,1484,17,87.59921176470588,9.100762121237588
game2,6,gemini-3.1-pro,gemini-3.1-pro,1494,21,84.05835238095239,12.187387589127503
game2,6,claude-opus-4-6,Opus 4.6,1499,11,85.42344545454544,13.402561336652308
game2,6,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,19,90.38115789473684,9.636347401970413
game2,8,amazon-nova-micro-v1.0,Nova Micro,1240,19,82.12542105263158,15.040070224850046
game2,8,claude-3-haiku-20240307,Claude 3 Haiku,1260,17,79.71888235294118,13.043016722955388
game2,8,command-r-plus-08-2024,Command R+,1276,23,82.23295652173913,12.597968384113152
game2,8,amazon-nova-pro-v1.0,Nova Pro,1290,12,86.21933333333334,11.602940633017699
game2,8,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,12,84.8625,6.215232687811163
game2,8,llama-3.3-70b-instruct,Llama 3.3 70B,1318,20,80.53005,15.048665817676502
game2,8,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,11,72.44945454545456,13.850942540951037
game2,8,gpt-5-nano-high,GPT-5-nano,1337,5,84.8882,15.635624106507553
game2,8,gpt-4o-2024-05-13,GPT-4o,1345,18,81.14622222222222,14.474734095111483
game2,8,deepseek-v3,DeepSeek V3,1358,16,83.0448125,10.985505312114675
game2,8,o3-mini-high,o3-mini-high,1363,16,82.169375,13.875444088388662
game2,8,gemma-3-27b-it,Gemma 3 27B,1365,10,75.1802,17.564001327209645
game2,8,claude-sonnet-4-20250514,Sonnet 4,1389,20,85.5933,9.528051278641453
game2,8,claude-haiku-4-5-20251001,Haiku 4.5,1407,15,80.9014,15.96006590032939
game2,8,deepseek-r1-0528,DeepSeek R1-0528,1422,11,88.64645454545455,9.108455932413975
game2,8,qwen3-max-preview,Qwen3 Max,1435,19,87.64894736842105,8.49504217158902
game2,8,gemini-2.5-pro,Gemini 2.5 Pro,1448,16,88.0974375,8.359076535668674
game2,8,claude-opus-4-5-20251101,Opus 4.5,1468,17,85.81735294117647,9.423579176334597
game2,8,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,13,85.60846153846154,12.219859489204346
game2,8,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,12,85.73233333333333,10.940353462241877
game2,8,gpt-5.4-high,GPT-5.4 High,1484,12,91.35725000000001,6.445334085776529
game2,8,gemini-3.1-pro,gemini-3.1-pro,1494,17,84.56805882352943,15.275695084310353
game2,8,claude-opus-4-6,Opus 4.6,1499,15,89.084,10.115439119060948
game2,8,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,14,86.32585714285715,10.802606963543163
game2,10,amazon-nova-micro-v1.0,Nova Micro,1240,17,80.74623529411765,21.203755706623678
game2,10,claude-3-haiku-20240307,Claude 3 Haiku,1260,16,83.75575,13.436515359273772
game2,10,command-r-plus-08-2024,Command R+,1276,13,86.2556153846154,13.03580852586739
game2,10,amazon-nova-pro-v1.0,Nova Pro,1290,17,82.17717647058825,14.856773704422226
game2,10,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,16,90.351375,5.410345236981957
game2,10,llama-3.3-70b-instruct,Llama 3.3 70B,1318,13,85.03853846153847,12.732662307463327
game2,10,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,10,86.1366,14.83113736703966
game2,10,gpt-5-nano-high,GPT-5-nano,1337,11,89.38845454545455,5.47022027643561
game2,10,gpt-4o-2024-05-13,GPT-4o,1345,17,85.39864705882353,8.555282161778596
game2,10,deepseek-v3,DeepSeek V3,1358,18,90.01172222222222,7.112447529470933
game2,10,o3-mini-high,o3-mini-high,1363,16,88.1531875,8.19904819857159
game2,10,gemma-3-27b-it,Gemma 3 27B,1365,16,82.003625,18.51861131177678
game2,10,claude-sonnet-4-20250514,Sonnet 4,1389,18,88.05372222222223,10.267577260515436
game2,10,claude-haiku-4-5-20251001,Haiku 4.5,1407,21,90.84319047619049,7.413765693755416
game2,10,deepseek-r1-0528,DeepSeek R1-0528,1422,16,92.95125,6.872151409857035
game2,10,qwen3-max-preview,Qwen3 Max,1435,18,91.27788888888888,5.361215203432554
game2,10,gemini-2.5-pro,Gemini 2.5 Pro,1448,19,89.35084210526317,6.680588840174345
game2,10,claude-opus-4-5-20251101,Opus 4.5,1468,14,88.89071428571428,6.100061455284017
game2,10,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,17,89.44276470588235,6.3762526958376196
game2,10,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,17,92.34576470588235,7.366953233269261
game2,10,gpt-5.4-high,GPT-5.4 High,1484,14,89.76914285714285,9.552568400956101
game2,10,gemini-3.1-pro,gemini-3.1-pro,1494,10,89.1867,11.33881681119232
game2,10,claude-opus-4-6,Opus 4.6,1499,11,88.77936363636364,9.730694787863069
game2,10,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,15,88.866,7.9850974768180345
game3,2,amazon-nova-micro-v1.0,Nova Micro,1240,5,21.31,9.186021989958439
game3,2,claude-3-haiku-20240307,Claude 3 Haiku,1260,8,6.5,13.760813929415658
game3,2,command-r-plus-08-2024,Command R+,1276,4,15.645,14.480261277569085
game3,2,amazon-nova-pro-v1.0,Nova Pro,1290,5,10.959999999999999,9.700927790680643
game3,2,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,3,13.6,3.8574603043971813
game3,2,llama-3.3-70b-instruct,Llama 3.3 70B,1318,1,33.300000000000004,
game3,2,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,3,4.300000000000001,12.994999038091539
game3,2,gpt-5-nano-high,GPT-5-nano,1337,2,18.7,6.081118318204309
game3,2,gpt-4o-2024-05-13,GPT-4o,1345,6,25.183333333333334,22.18742136136299
game3,2,deepseek-v3,DeepSeek V3,1358,6,16.125833333333333,17.22864487319495
game3,2,o3-mini-high,o3-mini-high,1363,3,16.933333333333334,2.900574655707612
game3,2,gemma-3-27b-it,Gemma 3 27B,1365,2,18.845,27.79636756844318
game3,2,claude-sonnet-4-20250514,Sonnet 4,1389,5,20.4216,12.620892710105732
game3,2,claude-haiku-4-5-20251001,Haiku 4.5,1407,2,48.0,4.242640687119285
game3,2,deepseek-r1-0528,DeepSeek R1-0528,1422,2,33.0,22.627416997969522
game3,2,qwen3-max-preview,Qwen3 Max,1435,3,37.89333333333334,13.184617299464302
game3,2,gemini-2.5-pro,Gemini 2.5 Pro,1448,3,29.233333333333334,11.11140555165427
game3,2,claude-opus-4-5-20251101,Opus 4.5,1468,8,29.275,22.027693608598376
game3,2,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,4,32.125,16.453849600220206
game3,2,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,5,21.98,6.993711461019822
game3,2,gpt-5.4-high,GPT-5.4 High,1484,2,10.485,6.809438302826454
game3,2,gemini-3.1-pro,gemini-3.1-pro,1494,6,27.566666666666666,19.322698224281893
game3,2,claude-opus-4-6,Opus 4.6,1499,6,29.691666666666666,19.596183727110404
game3,2,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,8,22.46875,15.70775371546531
