game_label,competition_key,competition_value,model,model_short,elo,agent_run_count,final_utility_mean,final_utility_std
game1,comp=1.00,1.0,llama-3.3-70b-instruct,Llama 3.3 70B,1318,8,31.917,23.20782272055204
game1,comp=1.00,1.0,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,5,31.53,14.993398547360771
game1,comp=1.00,1.0,gpt-5-nano-high,GPT-5-nano,1337,2,19.0515,19.726157874761114
game1,comp=1.00,1.0,gpt-4o-2024-05-13,GPT-4o,1345,12,26.37708333333333,12.585890407756638
game1,comp=1.00,1.0,deepseek-v3,DeepSeek V3,1358,5,45.254000000000005,24.153852280743955
game1,comp=1.00,1.0,o3-mini-high,o3-mini-high,1363,10,28.33186,16.12274926432972
game1,comp=1.00,1.0,gemma-3-27b-it,Gemma 3 27B,1365,2,21.0,5.656854249492381
game1,comp=1.00,1.0,claude-sonnet-4-20250514,Sonnet 4,1389,7,44.00714285714286,18.33013067264362
game1,comp=1.00,1.0,claude-haiku-4-5-20251001,Haiku 4.5,1407,3,20.233333333333334,1.5947831618540904
game1,comp=1.00,1.0,deepseek-r1-0528,DeepSeek R1-0528,1422,4,28.725,4.996915715385509
game1,comp=1.00,1.0,qwen3-max-preview,Qwen3 Max,1435,4,27.88275,18.409605923267343
game1,comp=1.00,1.0,gemini-2.5-pro,Gemini 2.5 Pro,1448,1,52.0,
game1,comp=1.00,1.0,claude-opus-4-5-20251101,Opus 4.5,1468,4,31.5,6.1040969848127435
game1,comp=1.00,1.0,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,3,22.393756666666665,9.234984620324678
game1,comp=1.00,1.0,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,3,36.4,22.299775783626167
game1,comp=1.00,1.0,gpt-5.4-high,GPT-5.4 High,1484,5,28.033800000000003,17.282304886791
game1,comp=1.00,1.0,claude-opus-4-6,Opus 4.6,1499,2,44.650000000000006,9.404520189781088
game1,comp=1.00,1.0,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,4,34.25,8.732124598286491
